line,title,author,cited_num,relate,reverse_relate
The multiplicity one conjecture for local theta correspondences,The multiplicity one conjecture for local theta correspondences,,14,100.00%,100.00%
Heegner points over towers of Kummer extensions,Heegner Points over Towers of Kummer Extensions,,1,57.14%,57.14%
"Twisted Fermat curves over totally real fields. II. Geometry,",Twisted Fermat curves over totally real fields,,9,66.67%,85.71%
Twisted Fermat curves over totally real fields,Twisted Fermat curves over totally real fields,,9,100.00%,100.00%
On the Birch-Swinnerton-Dyer conjecture of elliptic curves $E_D:y^2=x^3−D^2 x$,On the Birch-Swinnerton-Dyer Conjecture of Elliptic Curves E_D: y~ 2= x~ 3-D~ 2x,,0,44.44%,30.77%
Optimizing manual sampling schedule for estimating annual soil CO2 efflux in a young exotic pine plantation,Optimizing manual sampling schedule for estimating annual soil CO 2 efflux in a young exotic pine plantation in subtropical China,Y Wang H Wang ZL Wang,13,100.00%,75.00%
Rainfall pulse primarily drives litterfall respiration and its contribution to soil respiration in a young exotic pine plantation,Rainfall pulse primarily drives litterfall respiration and its contribution to soil respiration in a young exotic pine plantation in subtropical China,Y Wang,34,105.56%,85.71%
Underestimated effects of low temperature during early growing season on carbon sequestration of a subtropical coniferous plantation,Underestimated effects of low temperature during early growing season on carbon sequestration of a subtropical coniferous plantation,HM Wang YH Yi,28,100.00%,100.00%
Precipitation frequency controls interannual variation of soil respiration by affecting soil  moisture in a subtropical forest plantation,Precipitation frequency controls interannual variation of soil respiration by affecting soil moisture in a subtropical forest plantation,Y Wang,33,94.44%,100.00%
Freezing-induced loss in carbon uptake of a subtropical coniferous plantation in,Freezing-induced loss of carbon uptake in a subtropical coniferous plantation in southern China,H Wang Z Ma,8,100.00%,84.62%
Ecosystem carbon exchange of a subtropical evergreen coniferous plantation subjected to seasonal drought,"Ecosystem carbon exchanges of a subtropical evergreen coniferous plantation subjected to seasonal drought, 2003–2007",HM Wang,80,84.62%,78.57%
Contribution of aboveground litter decomposition to soil respiration in a subtropical coniferous plantation,Contribution of aboveground litter decomposition to soil respiration in a subtropical coniferous plantation in southern China,Y Wang H Wang Z Ma,23,107.69%,81.25%
Net ecosystem CO2 exchange over a larch forest in Hokkaido,"Net ecosystem CO 2 exchange over a larch forest in Hokkaido, Japan",N Saigusa,65,80.00%,66.67%
The nitration of pyrene adsorbed on silica particles by nitrogen dioxide,The nitration of pyrene adsorbed on silica particles by nitrogen dioxide,,16,100.00%,100.00%
Effect of nitrous acid gas on the nitration of pyrene adsorbed on silica particles by nitrogen dioxide,Effect of nitrous acid gas on the nitration of pyrene adsorbed on silica particles by nitrogen dioxide,,5,100.00%,100.00%
Nitration of pyrene adsorbed on silica particles by nitrogen dioxide under simulated atmospheric conditions,Nitration of pyrene adsorbed on silica particles by nitrogen dioxide under simulated atmospheric conditions,,25,100.00%,100.00%
Tanshinones against cancer and cardiovascular diseases and their biosynthesis,Tanshinones Against Cancer and Cardiovascular Diseases and their Biosynthesis,,0,44.44%,44.44%
"SiRNA Research: theory, applications and methods",siRNAs: applications in functional genomics and potential as therapeutics,,1046,33.33%,22.22%
"Methods in Molecular Biology, vol 261: Protein-Protein Interactions",Methods in Molecular Biology Vol. 261: Protein–Protein Interactions: Methods and Applications. Edited by Haian Fu.,,0,62.50%,26.67%
Biotechnology secondary metabolite,Biotechnology: secondary metabolites,,46,33.33%,33.33%
"Natural Products: Drug Discovery, Therapeutic Medicine",Natural products in drug discovery,AL Harvey,1220,16.67%,20.00%
POSH Localizes Activated Rac1 to Control the Formation of Cytoplasmic Dilation of the Leading Process and Neuronal Migration,POSH localizes activated Rac1 to control the formation of cytoplasmic dilation of the leading process and neuronal migration,T Yang Y Sun,29,44.44%,44.44%
Sh3rf2/POSHER protein promotes cell survival by ring-mediated proteasomal degradation of the c-Jun N-terminal kinase scaffold POSH (Plenty of SH3s) protein,Sh3rf2/POSHER protein promotes cell survival by ring-mediated proteasomal degradation of the c-Jun N-terminal kinase scaffold POSH (Plenty of SH3s) protein,,7,100.00%,100.00%
Leucine-Rich Repeat Kinase 2 (LRRK2) Disturbs Mitochondrial Dynamics via Dynamin-Like Protein,Leucine‐rich repeat kinase 2 disturbs mitochondrial dynamics via Dynamin‐like protein,J Niu,90,18.18%,20.00%
. Expression of Leucine-Rich Repeat Kinase 2 (LRRK2) Inhibits the Processing of uMtCK to Induce Cell Death in cell culture model system,Expression of leucine-rich repeat kinase 2 (LRRK2) inhibits the processing of uMtCK to induce cell death in a cell culture model system,J Niu Z Yue,15,63.64%,59.09%
The suppression of CRMP2 expression by BMP-SMAD gradient signaling controls multiple stages of neuronal development,The suppression of CRMP2 expression by bone morphogenetic protein (BMP)-SMAD gradient signaling controls multiple stages of neuronal development,Y Sun T Fei T Yang,40,93.33%,77.78%
Methylation of ribosomal protein s10 by protein arginine methyltransferase 5 regulates ribosome biogenesis,Methylation of ribosomal protein S10 by protein-arginine methyltransferase 5 regulates ribosome biogenesis,J Ren Y Zhang,77,76.92%,91.67%
Regulation of the Protein Stability of POSH and MLK Family,Regulation of the protein stability of POSH and MLK family,C Wang,2,70.00%,70.00%
Regulation of Neural Stem Cell by Bone Morphogenic Protein (BMP) Signaling During Brain Development,Regulation of neural stem cell by bone morphogenetic protein (BMP) signaling during brain development,,0,28.57%,28.57%
"Expression, purification and preliminary biochemical studies of the N-terminal domain of leucine-rich repeat kinase 2","Expression, purification and preliminary biochemical studies of the N-terminal domain of leucine-rich repeat kinase 2",,9,100.00%,100.00%
POSH is Involved in Egr-Bsk(TNF-JNK) Signaling and Embryogenesis in Drosophila,The regulatory mechanisms of Eiger-dependent cell death signaling in Drosophila melanogaster,,0,20.00%,27.27%
Adenine Nucleotide Translocator Cooperates with Core Cell Death Machinery to Promote Apoptosis in Caenorhabditiselegans,Adenine nucleotide translocator cooperates with core cell death machinery to promote apoptosis in Caenorhabditis elegans,Q Shen H Xiao,24,28.57%,26.67%
Drosophila Tubulin-specific chaperone E functions at neuromuscular synapses and is required for microtubule network formation.,Drosophila Tubulin-specific chaperone E functions at neuromuscular synapses and is required for microtubule network formation,L Pan Z Liu,44,93.33%,93.33%
Cbl Negatively Regulates JNK Activation and Cell Death.,Cbl negatively regulates JNK activation and cell death,LA Greene,13,37.50%,37.50%
Melittin prevents liver cancer  cell metastasis through inhibition of the Rac1-dependent pathway,Melittin prevents liver cancer cell metastasis through inhibition of the Rac1‐dependent pathway,S Liu L Xiao,142,83.33%,83.33%
The JNK Pathway and Neuronal Migration,The JNK pathway and neuronal migration,Y Sun T Yang,20,50.00%,50.00%
"Identification of POSH2, a novel homologue of the c-Jun N-terminal kinase scaffold protein POSH","Identification of POSH2, a novel homologue of the c-Jun N-terminal kinase scaffold protein POSH",LA Greene,5,100.00%,100.00%
Hint1 Inhibits Growth and Activator Protein-1 Activity in Human Colon Cancer Cells,Hint1 inhibits growth and activator protein-1 activity in human colon cancer cells,,73,25.00%,25.00%
JNK pathway: diseases and therapeutic potential,JNK pathway: diseases and therapeutic potential,Y Zhang,90,100.00%,100.00%
Proapoptotic Nix activates the JNK pathway by interacting with POSH and mediates death in a Parkinson disease model,Proapoptotic Nix activates the JNK pathway by interacting with POSH and mediates death in a Parkinson disease model,,42,100.00%,100.00%
SIAH1 Interacts with the Scaffold Protein POSH to Promote JNK Activation and Apoptosis,Siah1 interacts with the scaffold protein POSH to promote JNK activation and apoptosis,W Wang,66,46.15%,46.15%
Direct interaction of the molecular scaffolds POSH and JIP is required for apoptotic activation of JNKs.,Direct interaction of the molecular scaffolds POSH and JIP is required for apoptotic activation of JNKs,LA Greene,64,93.75%,93.75%
Synergistic effects of the SAPK/JNK & the proteasome pathways on GFAP accumulation in Alexander disease,Synergistic effects of the SAPK/JNK and the proteasome pathway on glial fibrillary acidic protein (GFAP) accumulation in Alexander disease,,77,80.00%,63.16%
Regulation of the apoptotic JNK pathway.,Opposing effects of ERK and JNK-p38 MAP kinases on apoptosis,RJ Davis,5797,16.67%,10.00%
A stability-based self-amplifying feed forward loop mechanism for regulation of the apoptotic JNK pathway,[CITATION][C] A stability-based selfamplifying feed forward loop mechanism for regulation of the apoptotic JNK pathway,,2,92.86%,86.67%
Cbl-b/Cbl regulates c-Kit receptor stability through the proteasomal pathway in mast cells.,Regulation of stem cell factor receptor signaling by Cbl family proteins (Cbl-b/c-Cbl),,112,8.33%,8.33%
Analysis of the meiotic role of the mitochondrial ribosomal proteins Mrps17 and Mrpl37 in Saccharomyces cerevisiae,Analysis of the meiotic role of the mitochondrial ribosomal proteins Mrps17 and Mrpl37 in Saccharomyces cerevisiae,SE Hanlon,3,100.00%,100.00%
Mixed lineage kinase (MLK) 3-activated p38 MAP kinase mediates TGF-Beta-induced apoptosis in hepatoma cells,Mixed lineage kinase 3 (MLK3)-activated p38 MAP kinase mediates transforming growth factor-β-induced apoptosis in hepatoma cells,,91,78.57%,68.75%
