Global phase diagram of three-dimensional extended Boson Hubbard model: A continuous-time quantum Monte Carlo study,Global phase diagram of three-dimensional extended Boson Hubbard model: A continuous-time quantum Monte Carlo study,,8,100.00%,100.00%
First-Principles Study of Fe-Doped ZnO Nanowires,First-principles study of Fe-doped ZnO nanowires,,11,33.33%,33.33%
Quadratic magnetic field dependence of magnetoelectric photocurrent,Quadratic magnetic field dependence of magnetoelectric photocurrent,J Dai HZ Lu SQ Shen X Cui,2,100.00%,100.00%
Andreev and Single Particle Tunneling Spectroscopies in Underdoped Cuprates,Coherence and single-particle excitations in the high-temperature superconductors,G Deutscher,404,22.22%,25.00%
Self doping effect and successive magnetic transitions in superconducting Sr2VFeAsO3,Self-doping effect and successive magnetic transitions in superconducting ,GH Cao J Bao Y Luo,41,70.00%,87.50%
Finite-temperature Gutzwiller projection for strongly correlated electron systems,Finite-temperature Gutzwiller projection for strongly correlated electron systems,WS Wang D Wang,14,100.00%,100.00%
"""Effect of Zn-impurity on Tc and its implication to pairing symmetry in under- and over-doped",Effect of a Zn impurity on Tc and its implications for pairing symmetry in LaFeAsO1− xFx,Y Li G Cao W Chen,59,53.33%,56.25%
"LaFeAsO1􀀀xFx""",Doping evolution of antiferromagnetic order and structural distortion in ,J Zhao JW Lynn,174,0.00%,0.00%
"""Theory of magneto-electric photocurrent generated by direct inter-band transitions in semi-",Theory of magnetoelectric photocurrent generated by direct interband transitions in a semiconductor quantum well,HZ Lu SQ Shen,3,63.64%,50.00%
conductor quantum well,Thermoelectric figure of merit of a one-dimensional conductor,,2184,33.33%,12.50%
"""Magnetoelectric Photocurrent Generated by Direct Inter",Magnetoelectric Photocurrent Generated by Direct Interband Transitions in  Two-Dimensional Electron Gas,J Dai HZ Lu CL Yang SQ Shen X Cui,13,66.67%,33.33%
band Transitions in InGaAs/InAlAs,Spectral Dependence of Spin Photocurrent and Current-Induced Spin Polarization in an  Two-Dimensional Electron Gas,L Ding,158,25.00%,6.67%
"Two-Dimensional Electron Gas""",Quantized conductance of point contacts in a two-dimensional electron gas,BJ Van Wees CWJ Beenakker,3565,0.00%,0.00%
Anderson impurity in a helical metal,Anderson impurity in a helical metal,WQ Chen,46,100.00%,100.00%
Electronic structure near an impurity and terrace on the surface of a three-dimensional topo-logical insulator,Electronic structure near an impurity and terrace on the surface of a three-dimensional topological insulator,D Wang,33,93.33%,93.33%
"""In-plane noncollinear exchange coupling mediated by helical edge states in quantum spin Hall",In-plane noncollinear exchange coupling mediated by helical edge states in quantum spin Hall systems,W Chen,16,92.31%,85.71%
"systems""","Systems thinking, systems practice",,10655,0.00%,0.00%
"""Origin of the checkerboard pattern in scanning tunneling microscopy maps of under-doped",Origin of the checkerboard pattern in scanning tunneling microscopy maps of underdoped cuprate superconductors,WQ Chen TM Rice,9,83.33%,71.43%
"cuprate superconductors""",[CITATION][C] The theory of superconductivity in the high-Tc cuprate superconductors,,1077,50.00%,10.00%
Disorder effect of resonant spin Hall effect in a tilted magnetic feld,Disorder effect of resonant spin Hall effect in a tilted magnetic field,SQ Shen,0,91.67%,91.67%
π-junction to probe antiphase s-wave pairing in iron pnictide superconductors, Junction to Probe Antiphase -Wave Pairing in Iron Pnictide Superconductors,WQ Chen,51,20.00%,20.00%
Imbalanced superuid state in an annular disk,Imbalanced superfluid state in an annular disk,ZD Wang,6,85.71%,85.71%
Nature of Stripes in the Generalized t-J Model Applied to The Cuprate Superconductors,Nature of stripes in the generalized t–J model applied to the cuprate superconductors,WQ Chen TM Rice M Sigrist,58,46.15%,38.46%
Narrow superconducting window in LaFe1􀀀xNixAsO,Narrow superconducting window in ,G Cao X Lin Y Li,84,80.00%,100.00%
Quasiparticles in the Pseudogap Phase of Underdoped Cuprate,Quasiparticles in the pseudogap phase of underdoped cuprate,HB Yang TM Rice,5,50.00%,50.00%
Variational Monte-Carlo studies of Gossamer Superconductivity,Variational Monte Carlo studies of gossamer superconductivity,,10,50.00%,42.86%
Observation of Exciton-Phonon Sideband in Individual Metallic Single-Walled Carbon Nan-otubes,Observation of Exciton-Phonon Sideband in Individual Metallic Single-Walled Carbon Nanotubes,H Zeng H Zhao X Cui,18,90.00%,90.00%
First Principles Study on the Structure and Electronic Properties of 2-Nitrimino-1-nitroimidazolidine,First principles study on the structure and electronic properties of 2‐nitrimino‐1‐nitroimidazolidine,,5,45.45%,45.45%
Exploring Exotic Super uidity of Polarized Ultracold Fermions in Optical Lattices,Spin-orbit coupled ultracold gases in optical lattices: High-band physics and insufficiency of tight-binding models,,7,18.18%,14.29%
Strong Coupling Theory for Superconducting Iron Pnictides,Strong coupling theory for superconducting iron pnictides,WQ Chen,78,28.57%,28.57%
Electron Tunneling in Monolayer and Bilayer Graphene,Electron Tunneling in Monolayer and Bilayer Graphene,D Wu,0,100.00%,100.00%
Na4Ir3O8 as a 3D spin liquid with fermionic spinons, as a 3D Spin Liquid with Fermionic Spinons,TK Ng,86,44.44%,50.00%
"""Symmetry of superconducting states with two orbitals on a tetragonal lattice: Application to",Symmetry of superconducting states with two orbitals on a tetragonal lattice: Application to ,Y Zhou WQ Chen,28,92.31%,92.31%
"LaFeAsO1􀀀xFx""",Doping evolution of antiferromagnetic order and structural distortion in ,J Zhao JW Lynn,174,0.00%,0.00%
A classical picture of the role of vacancies and interstitials in Helium-4,A classical picture of the role of vacancies and interstitials in helium-4,L Pollet M Troyer,13,91.67%,91.67%
Inuence of the trap shape on the superuid-Mott transition in ultracold atomic gases,Decoherence and correlations in systems of trapped ultra-cold quantum gases,,0,23.08%,30.00%
"Even Parity, Orbital Singlet and Spin Triplet Pairing for Superconducting La(O1􀀀xFx)FeAs","Even Parity, Orbital Singlet, and Spin Triplet Pairing for Superconducting ",X Dai Y Zhou,134,81.82%,90.00%
Quantum Monte-Carlo study of a two-species boson Hubbard model,Quantum Monte Carlo study of a two-species bosonic Hubbard model,M Troyer,10,77.78%,70.00%
Quantum Oscillations in Magnetic Field Induced Antiferromagnetic Phase of Underdoped Cuprates : Application to Ortho-II Y Ba2Cu3O6:5,Quantum oscillations in magnetic-field–induced antiferromagnetic phase of underdoped cuprates: Application to ortho-II YBa2Cu3O6. 5,WQ Chen TM Rice,68,29.41%,35.71%
Theory of resonant spin hall effect,Theory of resonant spin Hall effect,SQ Shen,8,83.33%,83.33%
Effect of superlattice modulation of electronic parameters on the density of states of cuprate superconductors,Effect of superlattice modulation of electronic parameters on the density of states of cuprate superconductors,TM Rice,10,100.00%,100.00%
