A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Comparing next-generation sequencing and microarray technologies in a toxicological study of the effects of aristolochic acid on rat kidneys,Comparing next-generation sequencing and microarray technologies in a toxicological study of the effects of aristolochic acid on rat kidneys,Z Su Z Li T Chen H Fang D Ding,70,100.00%,100.00%
Discovery of molecular mechanisms of traditional Chinese medicinal formula Si-Wu-Tang using gene expression microarray and connectivity map,Discovery of molecular mechanisms of traditional Chinese medicinal formula Si-Wu-Tang using gene expression microarray and connectivity map,L Yang,102,100.00%,100.00%
The MicroArray Quality Control (MAQC)-II study of common practices for the development and validation of microarray-based predictive models,The MicroArray Quality Control (MAQC)-II study of common practices for the development and validation of microarray-based predictive models,,508,100.00%,100.00%
"The balance of reproducibility, sensitivity, and specificity of lists of differentially expressed genes in microarray studies","The balance of reproducibility, sensitivity, and specificity of lists of differentially expressed genes in microarray studies",RV Jensen,193,100.00%,100.00%
The MicroArray Quality Control (MAQC) project shows inter- and intraplatform reproducibility of gene expression measurements,The MicroArray Quality Control (MAQC) project shows inter-and intraplatform reproducibility of gene expression measurements,,1919,86.67%,92.86%
Evaluation of external RNA controls for the assessment of microarray performance,Evaluation of external RNA controls for the assessment of microarray performance,W Tong X Fan H Fang,116,100.00%,100.00%
Rat toxicogenomic study reveals analytical consistency across microarray platforms,Rat toxicogenomic study reveals analytical consistency across microarray platforms,L Guo C Wang,409,100.00%,100.00%
VEST: Abstract vector calculus simplification in Mathematica,VEST: Abstract vector calculus simplification in Mathematica,J Squire J Burby H Qin,6,100.00%,100.00%
Hamiltonian Mechanics of Stochastic Acceleration,Hamiltonian mechanics of stochastic acceleration,JW Burby AI Zhmoginov H Qin,7,40.00%,40.00%
A variational multi-symplectic particle-in-cell algorithm with smoothing functions for the Vlasov-Maxwell system,A variational multi-symplectic particle-in-cell algorithm with smoothing functions for the Vlasov-Maxwell system,J Xiao J Liu H Qin,28,100.00%,100.00%
On plasma rotation induced by waves in tokamaks,On plasma rotation induced by waves in tokamaks,H Qin J Liu NJ Fisch,8,100.00%,100.00%
Generalized Courant-Snyder Theory for Charged-Particle Dynamics in General Focusing Lattices,Generalized courant-snyder theory for charged-particle dynamics in general focusing lattices,H Qin M Chung JW Burby,16,30.00%,30.00%
On the singularity of the Vlasov-Poisson system,On the singularity of the Vlasov-Poisson system,,7,100.00%,100.00%
Analysis of continuously rotating quadrupole focusing channels using generalized Courant-Snyder theory,Analysis of continuously rotating quadrupole focusing channels using generalized Courant-Snyder theory,M Chung H Qin,10,100.00%,100.00%
Dynamic stabilization of the ablative Rayleigh–Taylor instability for heavy ion fusion,Dynamic stabilization of the ablative Rayleigh–Taylor instability for heavy ion fusion,H Qin,0,100.00%,100.00%
Automation of the guiding center expansion,Automation of the guiding center expansion,JW Burby J Squire H Qin,21,100.00%,100.00%
"Reply to Comment on “Woltjer-Taylor State without Taylor’s Conjecture: Plasma Relaxation at All Wavelengths""","[CITATION][C] Comment on"" Woltjer-Taylor State without Taylor's Conjecture: Plasma Relaxation at All Wavelengths"" Reply",H Qin J Squire,0,71.43%,71.43%
The Hamiltonian structure and Euler-Poincaré formulation of the Vlasov-Maxwell and gyrokinetic systems,The Hamiltonian structure and Euler-Poincaré formulation of the Vlasov-Maxwell and gyrokinetic systems,J Squire H Qin C Chandre,28,100.00%,100.00%
Class of Generalized Kapchinskij-Vladimirskij Solutions and Associated Envelope Equations for High-Intensity Charged-Particle Beams,Class of Generalized Kapchinskij-Vladimirskij Solutions and Associated Envelope Equations for High-Intensity Charged-Particle Beams,H Qin,9,100.00%,100.00%
On the toroidal plasma rotations induced by lower hybrid waves,On the toroidal plasma rotations induced by lower hybrid waves,H Qin J Liu NJ Fisch,11,100.00%,100.00%
Toroidal precession as a geometric phase,Toroidal precession as a geometric phase,JW Burby H Qin,2,100.00%,100.00%
Woltjer-Taylor State without Taylor’s Conjecture: Plasma Relaxation at all Wavelengths,Woltjer-Taylor state without Taylor's conjecture: Plasma relaxation at all wavelengths,H Qin J Squire,20,50.00%,50.00%
Current ramp-up with lower hybrid current drive in EAST,Current ramp-up with lower hybrid current drive in EAST,NJ Fisch H Qin,11,100.00%,100.00%
Geometric phases of the Faraday rotation of electromagnetic waves in magnetized plasmas,Geometric phases of the Faraday rotation of electromagnetic waves in magnetized plasmas,J Liu H Qin,4,100.00%,100.00%
"Response to “Comment on ‘Geometric phase of the gyromotion for charged particles in a time-dependent magnetic field’” [Phys. Plasmas 19, 094701 (2012)]","Response to “Comment on 'Geometric phase of the gyromotion for charged particles in a time-dependent magnetic field'”[Phys. Plasmas 19, 094701 (2012)]",J Liu H Qin,2,86.36%,90.48%
Geometric integration of the Vlasov-Maxwell system with a variational particle-in-cell scheme,Geometric integration of the Vlasov-Maxwell system with a variational particle-in-cell scheme,J Squire H Qin,44,100.00%,100.00%
Gyrosymmetry: Global considerations,Gyrosymmetry: global considerations,JW Burby H Qin,15,66.67%,66.67%
Gauge properties of the guiding center variational symplectic integrator,Gauge properties of the guiding center variational symplectic integrator,J Squire H Qin,12,100.00%,100.00%
Centroid and envelope dynamics of charged particle beams in an oscillating wobbler and external focusing lattice for heavy ion fusion applications,Centroid and envelope dynamics of charged particle beams in an oscillating wobbler and external focusing lattice for heavy ion fusion applications,H Qin,3,100.00%,100.00%
Geometric phase of the gyromotion for charged particles in a time-dependent magnetic field,Geometric phase of the gyromotion for charged particles in a time-dependent magnetic field,J Liu H Qin,13,100.00%,100.00%
Radial electric field generated by resonant trapped electron pinch with radio frequency injection in a tokamak plasma,Radial electric field generated by resonant trapped electron pinch with radio frequency injection in a tokamak plasma,NJ Fisch H Qin,10,100.00%,100.00%
Self-Similar Nonlinear Dynamical Solutions for One-Component Nonneutral Plasma in a Time-Dependent Linear Focusing Field,Self-similar nonlinear dynamical solutions for one-component nonneutral plasma in a time-dependent linear focusing field,H Qin,0,21.43%,21.43%
Variational Symplectic Algorithm for Guiding Center Dynamics in the Inner Magnetosphere,Variational symplectic algorithm for guiding center dynamics in the inner magnetosphere,J Li H Qin,13,36.36%,36.36%
Generalized Courant-Snyder theory and Kapchinskij-Vladimirskij distribution for high-intensity beams in a coupled transverse focusing lattice,Generalized Courant–Snyder theory and Kapchinskij–Vladimirskij distribution for high-intensity beams in a coupled transverse focusing lattice a,H Qin,12,93.33%,81.25%
A gyrokinetic collision operator for magnetized Lorentz plasmas,A gyrokinetic collision operator for magnetized Lorentz plasmas,C Liu H Qin,2,100.00%,100.00%
Centroid and envelope dynamics of high-intensity charged particle beams in an external focusing lattice and oscillating wobbler,Centroid and envelope dynamics of high-intensity charged-particle beams in an external focusing lattice and oscillating wobbler,H Qin,24,88.24%,93.75%
Phase-space dynamics of runaway electrons in tokamaks,Phase-space dynamics of runaway electrons in tokamaks,H Qin NJ Fisch,43,100.00%,100.00%
Twiss parameters and beam matrix formulation of generalized Courant-Snyder theory for coupled transverse dynamics and their application to helical transport channels,Twiss parameters and beam matrix formulation of generalized Courant–Snyder theory for coupled transverse beam dynamics,M Chung H Qin,11,66.67%,93.33%
Generalized Kapchinskij-Vladimirskij Distribution and Envelope Equation for High-Intensity Beams in a Coupled Transverse Focusing Lattice,Generalized Kapchinskij-Vladimirskij Distribution and Envelope Equation for High-Intensity Beams in a Coupled Transverse Focusing Lattice,H Qin M Chung,28,100.00%,100.00%
Generalized Courant-Snyder theory for coupled transverse dynamics of charged particles in electromagnetic focusing lattices,Generalized Courant-Snyder theory for coupled transverse dynamics of charged particles in electromagnetic focusing lattices,H Qin,18,100.00%,100.00%
A physical parametrization of coupled transverse dynamics based on generalized Courant–Snyder theory and its applications,A physical parametrization of coupled transverse dynamics based on generalized Courant–Snyder theory and its applications,H Qin,14,100.00%,100.00%
Variational Symplectic Algorithm for Guiding Center Dynamics and its Application in Tokamak Geometry,Variational symplectic algorithm for guiding center dynamics and its application in tokamak geometry,H Qin,50,38.46%,38.46%
Gyrocenter-Gauge Kinetic Algorithm for High Frequency Waves in Magnetized Plasmas,Gyrocenter-gauge kinetic algorithm for high frequency waves in magnetized plasmas,H Qin,17,20.00%,20.00%
Advanced Numerical Simulations of Temperature Anisotropy Instabilities and Collective Interaction Processes for High-Intensity Bunched Ion Beams,Advanced numerical simulations of temperature anisotropy instabilities and collective interaction processes in high-intensity bunched ion beams,H Qin,6,18.75%,18.75%
Adiabatic Formation of a Matched-beam Distribution for an Alternating-Gradient Quadrupole Lattice,Adiabatic formation of a matched-beam distribution for an alternating-gradient quadrupole lattice,MA Dorf H Qin,5,45.45%,45.45%
Survey of collective instabilities and beam–plasma interactions in intense heavy ion beams,Collective instabilities and beam-plasma interactions in intense heavy ion beams,H Qin,45,66.67%,80.00%
Weight Growth Due to Resonant Simulation Particles and a Modified δf Algorithm with Smooth Switching Between δf and Total-f Methods,Weight growth due to resonant simulation particles and a modified  algorithm with smooth switching between  and total- methods,H Qin,6,30.00%,30.00%
Electromagnetic High Frequency Gyrokinetic Particle-in-Cell Simulation,Electromagnetic high frequency gyrokinetic particle-in-cell simulation,H Qin,1,16.67%,16.67%
A Variational Symplectic Integrator for the Guiding Center Motion of Charged Particles for Long Time Simulations in General Magnetic Fields,Variational symplectic integrator for long-time simulations of the guiding-center motion of charged particles in general magnetic fields,H Qin,66,30.00%,35.29%
Response to “Comment on 'A New Derivation of the Plasma Susceptibility Tensor for a Hot Magnetized Plasma without Infinite Sums of Products of Bessel functions' ”,"Response to"" Comment on'A New Derivation of the Plasma Susceptibility Tensor for a Hot Magnetized Plasma Without Infinite Sums of Products of Bessel …",H Qin,0,69.23%,78.26%
A new derivation of the plasma susceptibility tensor for a hot magnetized plasma without infinite sums of products of Bessel functions,A new derivation of the plasma susceptibility tensor for a hot magnetized plasma without infinite sums of products of Bessel functions,H Qin,15,100.00%,100.00%
Nonlinear Delta-f Particle Simulations of Collective Dynamics in High-Intensity Bunched Beams,Nonlinear Delta-f Particle Simulations of Collective Effects in High Intensity Charged Particle Beams,H Qin,0,81.82%,61.54%
Nonlinear nonresonant forces by radio-frequency waves in plasmas,Nonlinear nonresonant forces by radio-frequency waves in plasmas,NJ Fisch H Qin,13,100.00%,100.00%
High Frequency Gyrokinetic Particle Simulation,High frequency gyrokinetic particle simulation,H Qin,13,20.00%,20.00%
Geometric Gyrokinetic Theory for Edge Plasmas,Geometric gyrokinetic theory for edge plasmas a,H Qin,41,33.33%,28.57%
Collective Temerature Anisotoropy Instabilities in Intense Charged Particle Beams,Collective temperature anisotropy instabilities in intense charged particle beams a,H Qin,22,22.22%,20.00%
Nonlinear Delta-f Particle Simulations of Collective Effects in High-Intensity Bunched Beams,Nonlinear δf particle simulations of collective effects in high-intensity bunched beams,H Qin,3,27.27%,27.27%
