Bias adjustment in analyzing longitudinal data with informative missingness.,Bias adjustment in analysing longitudinal data with informative missingness,J Shao,20,77.78%,77.78%
A repeated half-sample bootstrap and balanced repeated replications for randomly imputed data.,A repeated half-sample bootstrap and balanced repeated replications for randomly imputed data,J Shao,45,91.67%,91.67%
Efficiency comparison of methods for estimation and prediction in longitudinal regression models.,Smearing estimate: a nonparametric retransformation method,,1941,0.00%,0.00%
Replication methods for variance estimation in complex surveys with imputed data.,[CITATION][C] Replication methods for variance estimation in complex surveys with imputed data,,34,90.91%,83.33%
Drug shelf-life estimation.,Drug shelf-life estimation,J Shao,25,66.67%,66.67%
Two-phase shelf-life estimation.,Two‐phase shelf‐life estimation,J Shao,7,0.00%,0.00%
Jackknife variance estimation for nearest neighbor imputation.,Jackknife variance estimation for nearest-neighbor imputation,J Chen J Shao,115,57.14%,66.67%
A Bayesian decision rule for remediation action at toxic waste sites.,A Bayesian decision rule for remediation actions at toxic waste sites,,3,81.82%,81.82%
Nearest neighbor imputation for survey data.,Nearest neighbor imputation for survey data,J Chen J Shao,215,83.33%,83.33%
Consistency of the bootstrap procedure in individual bioequivalence.,Consistency of the bootstrap procedure in individual bioequivalence,J Shao,24,87.50%,87.50%
Cold deck and ratio imputation.,[CITATION][C] Cold deck and ratio imputation,J Shao,18,80.00%,66.67%
The bootstrap procedure for individual bioequivalence.,The bootstrap procedure in individual bioequivalence,J Shao,27,66.67%,66.67%
The GIC for model selection: A hypothesis testing approach.,The GIC for model selection: a hypothesis testing approach,J Shao,13,77.78%,77.78%
On statistical analysis for placebo-challenging designs in clinical trials,On statistical analysis for placebo‐challenging designs in clinical trials,J Shao,2,88.89%,88.89%
Bioequivalence review for drug interchangeability.,Bioequivalence review for drug interchangeability,J Shao,23,80.00%,80.00%
Reliability analysis using the least squares method in nonlinear mixed-eﬀect degradation models.,Reliability analysis using the least squares method in nonlinear mixed-effect degradation models,J Shao,54,83.33%,83.33%
Approximate balanced half samples and related replication methods for imputed survey data.,Approximate balanced half sample and related replication methods for imputed survey data,J Shao,10,83.33%,83.33%
Modiﬁed balanced repeated replication for complex survey data.,Modified balanced repeated replication for complex survey data,JNK Rao J Shao,81,75.00%,75.00%
Bootstrap minimum cost estimation of the average chemical concentration in contaminated soils.,Bootstrap minimum cost estimation of the average chemical concentration in contaminated soils,J Shao,5,91.67%,91.67%
Variance estimation for imputed survey data with non-negligible sampling fractions.,Variance estimation for survey data with composite imputation and nonnegligible sampling fractions,J Shao,137,70.00%,58.33%
"""Inference with survey data imputed by hot deck",Inference with survey data imputed by hot deck when imputed values are nonidentifiable,J Shao,14,100.00%,53.85%
"when nonrespondents are nonidentiﬁable. """,[CITATION][C] Inference with complex survey data imputed by hot deck when nonrespondents are nonidentifiable,J Shao,4,60.00%,21.43%
Convergence rates of the generalized information criterion.,Convergence rates of the generalized information criterion,J Shao,12,85.71%,85.71%
