line,title,author,cited_num,relate,reverse_relate
"""Numerical Simulation of the",Absorbing boundary conditions for numerical simulation of waves,B Engquist,3171,25.00%,12.50%
Aircraft study of aerosol vertical distributions over Beijing and their optical properties,Aircraft study of aerosol vertical distributions over Beijing and their optical properties,P Liu C Zhao Z Deng,63,100.00%,100.00%
Special Issue on the 2011 IEEE International Instrumentation and Measurement Technology Conference,Special Issue on the 2011 IEEE International Instrumentation and Measurement Technology Conference,Y Yan,0,100.00%,100.00%
Tuning the extraordinary transmission in a metallic/dielectric CDC hole array by changing the temperature.,Tuning the extraordinary transmission in a metallic/dielectric CDC hole array by changing the temperature,W Wang Y Lu S Chen,6,92.86%,92.86%
Applications of Maximum Entropy Spectral Analysis Methods to Pavement Surface Roughness Evaluation,"On the nature of surface roughness with application to contact mechanics, sealing, rubber friction and adhesion",BNJ Persson,655,16.67%,12.50%
2D-ACAR study of positron interactions with surfaces of aluminum,2-D ACAR study of positron interactions with surfaces of aluminium and silicon,,0,77.78%,58.33%
X-Ray standing wave and tunneling microscope location of gallium atoms on a silicon surface,X-ray standing-wave and tunneling-microscope location of gallium atoms on a silicon surface,,116,64.29%,75.00%
Retraction: Immunotherapeutic potential of B7-DC (PD-L2) cross-linking antibody in conferring antitumor immunity.,Immunotherapeutic potential of B7-DC (PD-L2) cross-linking antibody in conferring antitumor immunity,,57,83.33%,90.91%
Peristaltic particle transport using the lattice Boltzmann method.,Peristaltic particle transport using the lattice Boltzmann method,Q Kang H Viswanathan,29,87.50%,87.50%
Near-isogenic cotton germplasm lines that differ in fiber-bundle strength have temporal differences in fiber gene expression patterns as revealed by comparative high-throughput profiling,Near-isogenic cotton germplasm lines that differ in fiber-bundle strength have temporal differences in fiber gene expression patterns as revealed by comparative high …,DJ Hinchliffe HJ Kim,37,91.30%,95.45%
Synergistic antitumor effect of TRAIL and adriamycin on the human breast cancer cell line MCF7,Synergistic antitumor effect of TRAIL and adriamycin on the human breast cancer cell line MCF-7,,16,93.33%,93.33%
In vivo quantitative photoacoustic microscopy of gold nanostar kinetics in mouse organs.,In vivo quantitative photoacoustic microscopy of gold nanostar kinetics in mouse organs,G Niu X Chen,18,91.67%,91.67%
VEGF-loaded graphene oxide as theranostics for multi-modality imaging-monitored targeting therapeutic angiogenesis of ischemic muscle.,VEGF-loaded graphene oxide as theranostics for multi-modality imaging-monitored targeting therapeutic angiogenesis of ischemic muscle,P Huang J Lin L Zhu,32,92.86%,92.86%
"HPV infections among MSM in Shenzhen, China.","HPV infections among MSM in Shenzhen, China",,15,85.71%,85.71%
[A comparative study of N400 in generalized anxiety disorder versus obsessive compulsive disorder patients].,A comparative study of N400 in generalized anxiety disorder versus obsessive compulsive disorder patients,C Zhang,0,85.71%,85.71%
Soft-solution route to ZnO nanowall array with low threshold power density,Soft-solution route to ZnO nanowall array with low threshold power density,,32,100.00%,100.00%
Phase Transformation and Enhanced Photocatalytic Activity of S-doped Ag2O/TiO2 Heterostructured Nanobelts,Phase transformation and enhanced photocatalytic activity of S-doped Ag 2 O/TiO 2 heterostructured nanobelts,WJ Zhou,46,36.36%,28.57%
Oxygen Electroreduction Catalyzed by Gold Nanoclusters: Strong Core Size Effect,Oxygen electroreduction catalyzed by gold nanoclusters: strong core size effects,S Chen,312,20.00%,20.00%
Thermal Shock Resistance of SiC/Si-Mo Multilayer Oxidation Protective Coating for Carbon/Carbon Silicon Carbide Composites,Thermal Shock Resistance of SiC/Si-Mo Multilayer Oxidation Protective Coating for Carbon/Carbon Silicon Carbide Composites,,2,100.00%,100.00%
Use of small RNA as antiaging cosmeceuticals.,Use of small RNA as antiaging cosmeceuticals.,J Chen,2,100.00%,100.00%
Multiphoton microscopic imaging of normal human rectum tissue.,Multiphoton microscopic imaging of normal human rectum tissue,S Zhuo,16,87.50%,87.50%
Evidence for Energy Coupling from the Si-D Vibration Mode to the Si-Si and Si-O Vibration Modes at the SiO2/Si Interface,Evidence for energy coupling from the Si–D vibration mode to the Si–Si and Si–O vibration modes at the  interface,Z Chen P Ong,20,45.00%,45.00%
Membrane Orientation and Binding Determinants of G Protein-Coupled Receptor Kinase 5 as Assessed by Combined Vibrational Spectroscopic Studies,Membrane orientation and binding determinants of G protein-coupled receptor kinase 5 as assessed by combined vibrational spectroscopic studies,P Yang Z Chen,17,38.89%,38.89%
Quantifying the Ordering of Adsorbed Proteins In Situ,Quantifying the ordering of adsorbed proteins in situ,Z Chen,56,37.50%,37.50%
"Degenerate two-phase incompressible flow IV, Local refinement and domain decomposition",Degenerate two-phase incompressible flow IV: Local refinement and domain decomposition,,17,90.00%,90.00%
"Discovering Temporal Association Rules: Algorithms, Language and System","Discovering temporal association rules: Algorithms, language and system",I Petrounias,42,37.50%,37.50%
Multiperiod EBG structure for wide stopband circuits,Multiperiod EBG structure for wide stopband circuits,X Chen C Parini,38,100.00%,100.00%
Full-wave analyses for a multi-layered microstrip patch antenna,Full-wave analyses for a multi-layered microstrip patch antenna,WK Toh X Chen ID Robertson,3,100.00%,100.00%
Roles of cytotoxic T-lymphocyte-associated antigen-4 in the inductive phase of oral tolerance.,Roles of cytotoxic T‐lymphocyte‐associated antigen‐4 in the inductive phase of oral tolerance,Y Chen,21,75.00%,75.00%
"their implications on the fate of subducted lithosphere""",[CITATION][C] Mantle shear–wave tomography and the fate of subducted slabs,SP Grand,519,50.00%,40.00%
"On Conformally Kaehler, Einstein Manifolds","On conformally Kähler, Einstein manifolds",,112,40.00%,40.00%
Assessment of Open Source GIS Software for Water Resources Management in Developing Countries,Assessment of open source GIS software for water resources management in developing countries,S Shams,60,38.46%,38.46%
Open metal sites within isostructural metal-organic frameworks for differential recognition of acetylene and extraordinarily high acetylene storage capacity at room temperature,Open metal sites within isostructural metal–organic frameworks for differential recognition of acetylene and extraordinarily high acetylene storage capacity at room …,W Zhou MA Green,180,85.71%,90.00%
Attributing carbon changes in conterminous US forests to disturbance and non-disturbance factors from 1901 to 2010,Attributing carbon changes in conterminous US forests to disturbance and non‐disturbance factors from 1901 to 2010,F Zhang JM Chen,48,93.75%,93.75%
On the use of measurements of sensible and latent heat fluxes to evaluate land surface models.,A simple hydrologically based model of land surface water and energy fluxes for general circulation models,X Liang DP Lettenmaier,2230,31.25%,37.50%
Neutron energy spectrum measurements with a compact liquid scintillation detector on EAST,Neutron energy spectrum measurements with a compact liquid scintillation detector on EAST,G Gorini,15,100.00%,100.00%
Stability of Trapped Particle Modes in a Lower Hybrid Pump,Stability of trapped-particle modes in lower-hybrid pump,,2,30.00%,42.86%
Excitation of Fast Waves by Slow Waves Near the Lower Hybrid Frequency,Excitation of fast waves by slow waves near the lower‐hybrid frequency,,6,33.33%,36.36%
A D3-He Fusion Reactor Based on a Dipole Magnetic Field,A D-3He fusion reactor based on a dipole magnetic field,ME Mauel,118,30.00%,30.00%
Stereo-fluoroscopic image-guided robotic breast biopsy system,Stereo-fluoroscopic image-guided robotic biopsy system,,0,83.33%,100.00%
Human monocytes and macrophages express substance P and neurokinin-1 receptor,Human monocytes and macrophages express substance P and neurokinin-1 receptor.,,369,90.00%,90.00%
Interferon-gamma upregulates CCR5 expression in cord and adult blood mononuclear phagocytes,Interferon-γ upregulates CCR5 expression in cord and adult blood mononuclear phagocytes,B Lee,91,90.91%,90.91%
The Role of the Surface Amorphous Layer of Articular Cartilage in Joint Lubrication,The role of the surface amorphous layer of articular cartilage in joint lubrication,,50,38.46%,38.46%
Effect of Porosity of Articular Cartilage on Lubrication of a Normal Human Hip Joint,The effect of porosity of articular cartilage on the lubrication of a normal human hip joint,,54,35.71%,31.25%
PRAK suppresses oncogenic ras-induced hematopoietic cancer development by antagonizing the JNK pathway.,PRAK suppresses oncogenic ras-induced hematopoietic cancer development by antagonizing the JNK pathway,M Lai C Xiao,25,91.67%,91.67%
Mutagenesis by retroviral insertion in chemical mutagen-generated quasi-haploid mammalian cells.,Mutagenesis by retroviral insertion in chemical mutagen-generated quasi-haploid mammalian cells,,8,90.00%,90.00%
Near-field light concentration of ultra-small metallic nanoparticles for absorption enhancement in a-Si solar cells,Near-field light concentration of ultra-small metallic nanoparticles for absorption enhancement in a-Si solar cells,B Cai M Gu,30,100.00%,100.00%
Finite-dimensional approximations of unstable infinite-dimensional systems,Finite dimensional approximations of unstable infinite dimensional systems,PP Khargonekar,22,66.67%,50.00%
An object-based shot boundary detection using edge tracing and tracking,An object-based shot boundary detection using edge tracing and tracking,KN Ngan,35,100.00%,100.00%
OPUS-PSP: an orientation-dependent statistical all-atom potential derived from side-chain packing.,OPUS-PSP: an orientation-dependent statistical all-atom potential derived from side-chain packing,M Lu,121,90.00%,90.00%
Using phosphate rock to immobilize metals in soils and increase arsenic uptake in Pteris vittata,Using phosphate rock to immobilize metals in soil and increase arsenic uptake by hyperaccumulator Pteris vittata,LQ Ma,156,86.67%,87.50%
Networked interpenetrating connections of icosahedra Effects on shear transformations in metallic glass,Networked interpenetrating connections of icosahedra: Effects on shear transformations in metallic glass,M Lee KR Lee E Ma JC Lee,95,91.67%,91.67%
"Chill-cast in situ composites in the pseudo-ternary Mg–(Cu,Ni)–Y glass-forming system: Microstructure and compressive properties","Chill-cast in situ composites in the pseudo-ternary Mg–(Cu, Ni)–Y glass-forming system: Microstructure and compressive properties",E Ma,46,92.86%,86.67%
Ectopic expression of the Arabidopsis MINI ZINC FINGER1 and MIF3 genes induces shoot meristems on leaf margins.,Ectopic expression of the Arabidopsis MINI ZINC FINGER1 and MIF3 genes induces shoot meristems on leaf margins,W Hu,8,94.12%,94.12%
Spectroscopic route to monitoring individual surfactant ions and micelles in aqueous solution: A case study,Spectroscopic route to monitoring individual surfactant ions and micelles in aqueous solution: A case study,J Luo,1,100.00%,100.00%
Film Bulk Acoustic Resonator Nanosensors for Multi-task Sensing,Film bulk acoustic resonator nanosensors for multi-task sensing,JK Luo,3,25.00%,25.00%
Silicon/Molecule Interfacial Electronic Modifications,Silicon/molecule interfacial electronic modifications,H Ding,79,0.00%,0.00%
Dislocation density and strain distribution in SrTiO3 film grown on (110) DyScO3 substrate,Dislocation density and strain distribution in SrTiO3 film grown on (1 1 0) DyScO3 substrate,JH Hao,22,92.31%,80.00%
Injection Molding Control: from Single Cycle to Batch Control,Injection molding control: From single cycle to batch control,F Gao,2,22.22%,22.22%
"Association between a rare novel TP53 variant (rs78378222) and melanoma, squamous cell carcinoma of head and neck and lung cancer susceptibility in non-Hispanic Whites","Association between a rare novel TP53 variant (rs78378222) and melanoma, squamous cell carcinoma of head and neck and lung cancer susceptibility in …",LE Wang,8,87.50%,95.45%
Reply to K.A. Olaussen et al,DNA repair by ERCC1 in non–small-cell lung cancer and cisplatin-based adjuvant chemotherapy,KA Olaussen,1859,0.00%,0.00%
Energy Storage and Management System with Carbon Nanotube Supercapacitor and Multi-Directional Power Delivery Capability for Wireless Sensor Nodes,Energy storage and management system with carbon nanotube supercapacitor and multidirectional power delivery capability for autonomous wireless sensor nodes,,36,27.78%,26.32%
Wear-Resistant Bainite Ductile Iron and Its Strengthening Mechanism,[CITATION][C] Wear-resistant bainite ductile iron and its strengthening mechanism,L Ji,5,12.50%,11.11%
HREM observations of the synthesized process of nano-sized SiC by ball milling of Si and C mixed powders,HREM observations of the synthesized process of nano-sized SiC by ball milling of Si and C mixed powders,,43,100.00%,100.00%
Global output regulation for a class of uncertain nonlinear systems with nonlinear exosystem,Global robust output regulation for a class of nonlinear systems,A Serrani A Isidori,204,69.23%,100.00%
"Hydrodynamic Modeling and Eco-hydrological Analysis of River Inflow Effects on Apalachicola Bay, Florida, USA","Hydrodynamic modeling and ecohydrological analysis of river inflow effects on Apalachicola Bay, Florida, USA",,14,57.14%,57.14%
Mitochondrial respiration defects in cancer cells cause activation of Akt survival pathway through a redox-mediated mechanism,Mitochondrial respiration defects in cancer cells cause activation of Akt survival pathway through a redox-mediated mechanism,,328,100.00%,100.00%
Association of intron phases with conservation at splice site sequences and evolution of spliceosomal introns,Association of intron phases with conservation at splice site sequences and evolution of spliceosomal introns.,,80,93.33%,93.33%
Intron-exon structures of model organisms,Intron—exon structures of eukaryotic model organisms,,407,80.00%,66.67%
The  adaptive  evolution  of  insulin  two-gene system in rodents,Adaptive evolution of the insulin two-gene system in mouse,BY Liao,35,42.86%,66.67%
A Newly Tandem Duplicated Gene Cluster under Darwinian Positively  Selection  Evolved  a  Specific  Expression  Pattern  in  Reproductive  Organs  in Drosophila,Sex-dependent gene expression and evolution of the Drosophila transcriptome,JM Ranz CD Meiklejohn,558,3.33%,11.11%
Wing The Subtelomere of Oryza sativa  Chromosome  3  Short  Arm  as  a  Hot  Bed  of  New  Gene  Origination,The subtelomere of Oryza sativa chromosome 3 short arm as a hot bed of new gene origination in rice,Y Zhang Y Yu S Rounsley RA Wing,25,26.67%,42.11%
The  evolution  of  courtship  behaviors  through  the  origination  of  a  new  gene  in Drosophila,The evolution of courtship behaviors through the origination of a new gene in Drosophila,Y Chen Q Mao,53,53.85%,100.00%
Natural selection shapes genome  wide  patterns  of  copy  number  polymorphism  in  D.  melanogaster.,Natural selection shapes genome-wide patterns of copy-number polymorphism in Drosophila melanogaster,JJ Emerson M Cardoso-Moreira JO Borevitz,205,31.82%,63.64%
A Rice Gene of De Novo Origin Negatively Regulates Pathogen-Induced Defense Response.,A rice gene of de novo origin negatively regulates pathogen-induced defense response,,60,16.67%,16.67%
General gene movement off the X chromosome in the Drosophila genus,General gene movement off the X chromosome in the Drosophila genus,MD Vibranovski Y Zhang,83,100.00%,100.00%
RNA-based gene duplication.,RNA-based gene duplication: mechanistic and evolutionary insights,,257,66.67%,28.57%
Stage-specific expression profiling of Drosophila  spermatogenesis  suggests  that  meiotic  sex  chromosome  inactivation  drives genomic relocation of testis expressed genes,Stage-specific expression profiling of Drosophila spermatogenesis suggests that meiotic sex chromosome inactivation drives genomic relocation of testis …,MD Vibranovski HF Lopes TL Karr,144,59.26%,94.12%
Structural Renovation of Retrogenes in Populus,Extensive structural renovation of retrogenes in the evolution of the Populus genome,Y Zhang,46,66.67%,25.00%
Positive selection for the male functionality of a co-retroposed gene in the hominoids,Positive selection for the male functionality of a co-retroposed gene in the hominoids,Y Zhang,9,100.00%,100.00%
A method for estimating crossing-over and gene conversion rate,[CITATION][C] A method for estimating crossing-over and gene conversion rate,,0,100.00%,90.00%
Recombination yet inefficient selection along the Drosophila melanogaster subgroup's fourth chromosome,Recombination yet inefficient selection along the Drosophila melanogaster subgroup's fourth chromosome,JR Arguello,41,100.00%,100.00%
Biased mutational processes influence the genomic composition of copy number variation in Drosophila melanogaster,Natural selection shapes genome-wide patterns of copy-number polymorphism in Drosophila melanogaster,JJ Emerson M Cardoso-Moreira JO Borevitz,205,28.57%,36.36%
Genome wide postmeiotic transcription in Drosophila melanogaster,Direct evidence for postmeiotic transcription during Drosophila melanogaster spermatogenesis,MD Vibranovski HF Lopes,46,57.14%,44.44%
Direct Observations of Retention Failure in Ferroelectric Memories,Direct observations of retention failure in ferroelectric memories,P Gao CT Nelson,36,37.50%,37.50%
