line,title,author,cited_num,relate,reverse_relate
Transition Metal-Catalyzed/Mediated Reaction of Allenes with A Nucleophilic Functionality Connected to the a-Carbon Atom,Transition metal-catalyzed/mediated reaction of allenes with a nucleophilic functionality connected to the α-carbon atom,,438,35.71%,35.71%
Electrophilic Addition and Cyclization Reactions of Allenes,Electrophilic addition and cyclization reactions of allenes,,277,42.86%,42.86%
Some Typical Advances in the Synthetic Applications of Allenes,Some typical advances in the synthetic applications of allenes,,814,44.44%,44.44%
Recent Adavances in the Chemistry of Allenes,[CITATION][C] Recent advances in the chemistry of allenes,,213,57.14%,50.00%
"Pd(0)-catalyzed Insertion-Cyclization Reaction of 2,3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2,3-Disubstituted Vinylic Oxiranes","Pd (0)-Catalyzed Insertion− Cyclization Reaction of 2, 3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2, 3 …",,102,68.42%,61.90%
"Novel Substituent and Chelating Effects in the Pd-Catalyzed Reaction of 2,3-Allenols, Aryl Iodides, and Amines. Highly Regio- and Stereo-selective Synthesis of 2-Amino-3-alken-1-olsor 4-Amino-2(E)-alken-1-ols","Novel substituent and chelating effects in the Pd-catalyzed reaction of 2, 3-allenols, aryl iodides, and amines. Highly regio-and stereoselective synthesis of 2-amino-3 …",,53,34.78%,40.91%
"Highly Regio- and Stereoselective Halohydroxylation Reaction of 1,2-Allenyl Phenyl Sulfoxides. Reaction Scope, Mechanism and the Corresponding Pd- or Ni-Catalyzed Selective Coupling Reactions","Highly regio-and stereoselective halohydroxylation reaction of 1, 2-allenyl phenyl sulfoxides. Reaction scope, mechanism, and the corresponding Pd-or Ni-catalyzed …",,98,22.73%,38.89%
"2,3,4- or 2,3,5-Trisubstituted Furans: Catalyst-Controlled Highly Regioselectively Ring-Opening Cycloisomerization Reaction of Cyclopropenyl Ketones","2, 3, 4-or 2, 3, 5-Trisubstituted furans: Catalyst-controlled highly regioselective ring-opening cycloisomerization reaction of cyclopropenyl ketones",,146,7.69%,6.25%
"A Novel X- (X=I, Br)-Triggered Ring-opening Coupling Reaction of Cyclopropenes with Organic Halides","An X-(X= I, Br)-triggered ring-opening coupling reaction of cyclopropenes with organic halides",Y Cai,42,15.38%,16.67%
Catalytic Regioselectivity Control in Ring-Opening Cycloisomerization of Methylene- or Alkylidenecyclopropyl Ketones,Catalytic regioselectivity control in ring-opening cycloisomerization of methylene-or alkylidenecyclopropyl ketones,,128,27.27%,30.00%
"PdCl2-Catalyzed Two-Component Cross-coupling Cyclization of 2,3-Allenoic Acids and 2,3-Allenols. An Efficient Synthesis of 4-(1’, 3’-Dien-2’-yl)-2-furanone Derivatives","PdCl2-Catalyzed Two-Component Cross-Coupling Cyclization of 2, 3-Allenoic Acids with 2, 3-Allenols. An Efficient Synthesis of 4-(1 ', 3 '-Dien-2 '-yl)-2 (5 H)-furanone …",,67,56.25%,40.91%
ESI-MS Studies on the Mechanism of Pd(0)-Catalyzed Three-Component Tandem Double Addition-Cyclization Reaction,ESI-MS studies on the mechanism of Pd (0)-catalyzed three-component tandem double addition-cyclization reaction,H Guo,67,33.33%,30.77%
"Sequential Rearrangement of 1,2,4Z,7-Tetraenes Involving [1,5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-membered Cyclic Compounds","Sequential Rearrangement of 1, 2, 4 Z, 7-Tetraenes Involving [1, 5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-Membered Cyclic …",,34,68.75%,55.00%
"Palladium Acetate-Catalyzed Cyclization Reaction of 2,3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1’-Bromoprop-2’(Z)-en-2’-yl)furan-2(5H)-one Derivatives and the Synthetic Application","Palladium Acetate-Catalyzed Cyclization Reaction of 2, 3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1 '-Bromoalk-2 '(Z)-en-2 '-yl) …",X Wang W Shu,46,69.57%,77.27%
"trans-RhCl(CO)(PPh3)2-Catalyzed Monomeric and Dimeric Cycloisomerization of Propargylic 2,3-Dienoates. Establishment of α,β-Unsaturated δ-Lactone Rings by Cyclometallation","trans-RhCl (CO)(PPh3) 2-catalyzed monomeric and dimeric cycloisomerization of propargylic 2, 3-dienoates. establishment of α, β-unsaturated δ-lactone rings by …",,40,20.00%,16.67%
"Iron-Catalyzed Highly Regio- and Stereoselective Conjugate addition of 2,3-Allenoates with Grignard Reagents","Iron-catalyzed highly regio-and stereoselective conjugate addition of 2, 3-allenoates with Grignard reagents",,60,33.33%,33.33%
"Novel Oxidative Cyclization/Dimerization Reaction of 2,3-Allenoic Acids and 1,2-Allenyl Ketones. An Efficient Synthesis of 4-(3’-Furanyl)butenolide Derivatives","Oxidative Cyclization–Dimerization Reaction of 2, 3‐Allenoic Acids and 1, 2‐Allenyl Ketones: An Efficient Synthesis of 4‐(3′‐Furanyl) butenolide Derivatives",,125,62.50%,55.56%
