Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Tandem Structure of Porous Silicon film on Single-walled Carbon Nanotubes for Lithium-ion Battery Applications.,Tandem structure of porous silicon film on single-walled carbon nanotube macrofilms for lithium-ion battery applications,,67,35.71%,33.33%
Controlling Novel Red-light Emissions by Doping In2O3 Nano/Microstructures with Interstitial Nitrogen.,Controlling novel red-light emissions by doping In2O3 nano/microstructures with interstitial nitrogen,DV Esposito C Ni,17,36.36%,36.36%
"In2O3 Nanorod Bundles Derived from Novel Precursor and In2O3Nanoaggregates: Controllable Synthesis, Characterization and Property Studies","In2O3 nanorod bundles derived from a novel precursor and In2O3 nanoaggregates: controllable synthesis, characterization, and property studies",J Su C Ni,17,33.33%,23.53%
Low Hydrogen Containing Amorphous Carbon Films – Growth and Electrochemical Properties as Lithium Battery Anodes,Low hydrogen containing amorphous carbon films—Growth and electrochemical properties as lithium battery anodes,,27,20.00%,23.08%
In(OH)3 and In2O3Micro/Nanostructures: Controllable NaOAc-assisted Microemulsion Synthesis,In (OH) 3 and In2O3 micro/nanostructures: controllable NaOAc-assisted microemulsion synthesis and raman properties,J Su C Ni SG Cloutier,43,42.86%,15.38%
Nanostructuring HfO2 thin films as anti-reflection coatings,Nanostructuring HfO2 thin films as antireflection coatings,S Wang,22,85.71%,85.71%
Stretchable Supercapacitors Based on Buckled Carbon Nanotube Macro-Films,Stretchable supercapacitors based on buckled single‐walled carbon‐nanotube macrofilms,C Yu,429,25.00%,25.00%
"α-Fe2O3 Nanocrystals: Controllable SSA-assisted Hydrothermal Synthesis, Growth Mechanism and Magnetic Properties","α-Fe2O3 nanocrystals: controllable SSA-assisted hydrothermal synthesis, growth mechanism, and magnetic properties",,32,27.27%,27.27%
In-Situ Formation of Sandwiched Structures of  Nanotube/CuxOy/Cu Composites for Lithium Battery Applications,In-situ formation of sandwiched structures of nanotube/Cu x O y/Cu composites for lithium battery applications,H Zhu,70,23.08%,20.00%
Effect of Temperature on the Capacitance of Single-walled Carbon Nanotube Supercapacitors.,Electrochemical properties of high-power supercapacitors using single-walled carbon nanotube electrodes,,761,9.09%,20.00%
Synthesis of CoC2O4�2H2O Nanorods and Their Thermal Decomposition to Co3O4 Nanoparticles.,Synthesis of CoC 2 O 4· 2H 2 O nanorods and their thermal decomposition to Co 3 O 4 nanoparticles,,64,36.36%,20.00%
"Facile Synthesis, Characterization, and Microwave Absorbability of CoO Nanobelts and Submicron Spheres.","Facile synthesis, characterization, and microwave absorbability of CoO nanobelts and submicrometer spheres",,55,41.67%,41.67%
Temperature dependence of field emission of single-walled carbon nanotube thin films,Temperature dependence of field emission of single-walled carbon nanotube thin films,H Zhu,10,100.00%,100.00%
In situ Growth SnO2 Nanowires on the Surface of Au-coated Sn Grains using Water-Assisted Chemical Vapor Deposition,In situ growth of SnO 2 nanowires on the surface of Au-coated Sn grains using water-assisted chemical vapor deposition,,34,52.94%,42.11%
Photocatalytic Hydrogen Evolution on Hybrid Catalyst of MWNTs and TiO2 Nanoparticles under Visible Light Irradiation,Photocatalytic hydrogen generation using a nanocomposite of multi-walled carbon nanotubes and TiO2 nanoparticles under visible light irradiation,K Dai,134,33.33%,29.41%
Controllable Synthesis of Various In2O3 Submicron/Nano-structures Using Chemical Vapor Deposition,Controllable synthesis of various In2O3 submicron/nanostructures using chemical vapor deposition,,38,30.00%,30.00%
Wide-Temperature Range Operation Supercapacitors from Nanostructured Activated Carbon Fabric.,Wide-temperature range operation supercapacitors from nanostructured activated carbon fabric,,101,11.11%,11.11%
Long Cycle Electrochemical Behavior of Multiwall Carbon Nanotubes Synthesized on Stainless Steel in Li-ion Battery.,Long‐Cycle Electrochemical Behavior of Multiwall Carbon Nanotubes Synthesized on Stainless Steel in Li Ion Batteries,H Zhu,133,73.33%,73.33%
Anthocyanin-sensitized solar cell using carbon nanotube films as counter electrodes.,Anthocyanin-sensitized solar cells using carbon nanotube films as counter electrodes,H Zhu,105,80.00%,80.00%
Microstructural features and mechanical properties of carbon nanotubes reinforced aluminum-based metal matrix composites,Microstructural features and mechanical properties of carbon nanotubes reinforced aluminum-based metal matrix composites,,10,100.00%,100.00%
Nanostructured Manganese Oxides and their Composites with Carbon Nanotubes as Electrode Materials for Energy Storage Devices.,Nanostructured manganese oxides and their composites with carbon nanotubes as electrode materials for energy storage devices,H Zhu,34,37.50%,37.50%
Assembly and Applications of Carbon Nanotube Thin Films,Assembly and applications of carbon nanotube thin films,H Zhu,23,37.50%,37.50%
Growth of Carbon Nanofibers on Carbon Fabric using Ni Nanocatalyst Prepared by Pulse Electrodeposition,Growth of carbon nanofibers on carbon fabric with Ni nanocatalyst prepared using pulse electrodeposition,,17,35.71%,35.71%
Alcohol-Assisted Room Temperature Synthesis of Different Nanostructured Manganese Oxides and Their Pseudocapacitance Properties in Neutral Electrolyte,Alcohol-assisted room temperature synthesis of different nanostructured manganese oxides and their pseudocapacitance properties in neutral electrolyte,H Zhu,128,18.75%,18.75%
Novel Microwave Synthesis of Nanocrystalline SnO2 and Its Electrochemical Properties,Novel microwave synthesis of nanocrystalline SnO2 and its electrochemical properties,H Zhu,86,40.00%,40.00%
Self-Assembly of Multiwall Carbon Nanotubes from Quench-Condensed CNi3 Films.,Self-Assembly of Multiwall Carbon Nanotubes from Quench-Condensed CNi3 Films,,0,88.89%,88.89%
Controlled Synthesis of NiC2O4�2H2O Nanorod Precursors and Their Applications in Synthesis of Various Nickel Nanostructures,Optical and electrochemical properties of nanosized NiO via thermal decomposition of nickel oxalate nanofibres,X Wang,176,20.00%,21.43%
he effect of sulfur on the number of layers in a carbon nanotube,The effect of sulfur on the number of layers in a carbon nanotube,H Zhu C Li Y Zhu,50,92.31%,92.31%
Adhesion between Carbon Nanotubes and Substrate: Mimicking the Gecko Foothair.,Adhesion between carbon nanotubes and substrate: mimicking the gecko foot-hair,W Zhou Y Huang B Liu J Wu,13,40.00%,40.00%
Directly Grow Aligned Multiwall Carbon Nanotubes on Treated Stainless Steel Substrates.,Direct growth of aligned multiwalled carbon nanotubes on treated stainless steel substrates,,94,9.09%,8.33%
Thermal Stability of Carbon Nanotube Based Field Emission Diodes,Thermal stability of carbon-nanotube-based field emission diodes,,11,22.22%,28.57%
Direct fabrication of single-walled carbon nanotube macro-films,Direct fabrication of single-walled carbon nanotube macro-films on flexible substrates,H Zhu,63,100.00%,70.00%
Supercapacitors from Activated Banana Fiber Carbon,Supercapacitors from activated carbon derived from banana fibers,,241,50.00%,25.00%
Luminescence of carbon nanotube bulbs,Luminescence of carbon nanotube bulbs,HW Zhu,8,100.00%,100.00%
Room Temperature Ferromagnetism in Graphitic Nanoclusters,Room Temperature Ferromagnetism in Graphitic Nanoclusters,S Talapatra S Kar,1,100.00%,100.00%
Electrical Characterization of Carbon Nanotube Structures,Electrical characterization of carbon nanotube structures,YJ Jung,5,33.33%,33.33%
Pressure-Induced Transition in Magnetoresistance of Single-Walled Carbon Nanotubes,Pressure-induced transition in magnetoresistance of single-walled carbon nanotubes,HW Zhu,37,25.00%,25.00%
High Rate Lithium Reversibility in Carbon Nanofibers,High rate reversibility anode materials of lithium batteries from vapor-grown carbon nanofibers,H Zhu,115,14.29%,8.33%
Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Tandem Structure of Porous Silicon film on Single-walled Carbon Nanotubes for Lithium-ion Battery Applications.,Tandem structure of porous silicon film on single-walled carbon nanotube macrofilms for lithium-ion battery applications,,67,35.71%,33.33%
Controlling Novel Red-light Emissions by Doping In2O3 Nano/Microstructures with Interstitial Nitrogen.,Controlling novel red-light emissions by doping In2O3 nano/microstructures with interstitial nitrogen,DV Esposito C Ni,17,36.36%,36.36%
"In2O3 Nanorod Bundles Derived from Novel Precursor and In2O3Nanoaggregates: Controllable Synthesis, Characterization and Property Studies","In2O3 nanorod bundles derived from a novel precursor and In2O3 nanoaggregates: controllable synthesis, characterization, and property studies",J Su C Ni,17,33.33%,23.53%
Low Hydrogen Containing Amorphous Carbon Films – Growth and Electrochemical Properties as Lithium Battery Anodes,Low hydrogen containing amorphous carbon films—Growth and electrochemical properties as lithium battery anodes,,27,20.00%,23.08%
In(OH)3 and In2O3Micro/Nanostructures: Controllable NaOAc-assisted Microemulsion Synthesis,In (OH) 3 and In2O3 micro/nanostructures: controllable NaOAc-assisted microemulsion synthesis and raman properties,J Su C Ni SG Cloutier,43,42.86%,15.38%
Nanostructuring HfO2 thin films as anti-reflection coatings,Nanostructuring HfO2 thin films as antireflection coatings,S Wang,22,85.71%,85.71%
Stretchable Supercapacitors Based on Buckled Carbon Nanotube Macro-Films,Stretchable supercapacitors based on buckled single‐walled carbon‐nanotube macrofilms,C Yu,429,25.00%,25.00%
"α-Fe2O3 Nanocrystals: Controllable SSA-assisted Hydrothermal Synthesis, Growth Mechanism and Magnetic Properties","α-Fe2O3 nanocrystals: controllable SSA-assisted hydrothermal synthesis, growth mechanism, and magnetic properties",,32,27.27%,27.27%
In-Situ Formation of Sandwiched Structures of  Nanotube/CuxOy/Cu Composites for Lithium Battery Applications,In-situ formation of sandwiched structures of nanotube/Cu x O y/Cu composites for lithium battery applications,H Zhu,70,23.08%,20.00%
Effect of Temperature on the Capacitance of Single-walled Carbon Nanotube Supercapacitors.,Electrochemical properties of high-power supercapacitors using single-walled carbon nanotube electrodes,,761,9.09%,20.00%
Synthesis of CoC2O4�2H2O Nanorods and Their Thermal Decomposition to Co3O4 Nanoparticles.,Synthesis of CoC 2 O 4· 2H 2 O nanorods and their thermal decomposition to Co 3 O 4 nanoparticles,,64,36.36%,20.00%
"Facile Synthesis, Characterization, and Microwave Absorbability of CoO Nanobelts and Submicron Spheres.","Facile synthesis, characterization, and microwave absorbability of CoO nanobelts and submicrometer spheres",,55,41.67%,41.67%
Temperature dependence of field emission of single-walled carbon nanotube thin films,Temperature dependence of field emission of single-walled carbon nanotube thin films,H Zhu,10,100.00%,100.00%
In situ Growth SnO2 Nanowires on the Surface of Au-coated Sn Grains using Water-Assisted Chemical Vapor Deposition,In situ growth of SnO 2 nanowires on the surface of Au-coated Sn grains using water-assisted chemical vapor deposition,,34,52.94%,42.11%
